# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
80400000 198.966 279.405 342.059 820.431 1.90159e+07 219224 0.0301477
80500000 190.826 281.365 317.301 789.492 1.70364e+07 203518 0.0301013
80600000 180.757 289.659 312.905 783.321 1.6383e+07 199553 0.0300742
80700000 206.831 266.97 324.751 798.552 1.7932e+07 209085 0.0300077
80800000 213.581 257.208 326.097 796.886 1.79141e+07 208458 0.0299365
80900000 228.808 271.694 308.029 808.531 1.91488e+07 216335 0.0298246
81000000 207.601 266.772 304.345 778.718 1.68553e+07 199755 0.0297425
81100000 226.335 268.166 322.339 816.84 1.95645e+07 220092 0.0296463
81200000 198.023 302.54 317.781 818.344 1.90382e+07 218979 0.0295936
81300000 188.898 291.096 306.318 786.312 1.68436e+07 202018 0.0295488
81400000 198.945 278.753 316.605 794.303 1.75578e+07 206698 0.0294912
81500000 184.127 293.619 338.132 815.878 1.82805e+07 215604 0.0294855
81600000 179.909 293.448 298.268 771.625 1.57468e+07 193981 0.0294556
81700000 203.954 267.352 305.589 776.895 1.6663e+07 198554 0.029384
81800000 179.11 268.867 314.97 762.947 1.5168e+07 189256 0.0293639
81900000 191.259 264.786 302.562 758.607 1.53226e+07 188624 0.0293114
82000000 174.433 267.815 312.959 755.208 1.46202e+07 185122 0.0292989
82100000 186.233 273.917 328.966 789.115 1.67813e+07 202386 0.0292797
82200000 191.847 284.974 341.926 818.747 1.86936e+07 217709 0.0292626
82300000 186.04 287.925 345.924 819.889 1.85296e+07 217522 0.0292625
82400000 187.928 308.896 352.094 848.918 2.04391e+07 232979 0.0292669
82500000 198.101 285.873 358.887 842.861 2.03244e+07 230324 0.0292575
82600000 185.113 254.219 331.419 770.751 1.55964e+07 192662 0.0292484
82700000 189.095 274.342 325.823 789.259 1.69026e+07 202875 0.0292212
82800000 171.401 284.535 349.266 805.202 1.70336e+07 208013 0.0292583
82900000 190.533 273.258 341.292 805.083 1.77692e+07 210353 0.0292455
83000000 192.205 265.652 315.621 773.478 1.61155e+07 195569 0.0292048
83100000 205.295 274.624 327.551 807.471 1.8467e+07 213577 0.0291519
83200000 202.921 271.281 324.985 799.187 1.789e+07 209157 0.0291018
83300000 216.435 271.186 330.108 817.729 1.93754e+07 219662 0.0290358
83400000 192.457 263.901 321.305 777.662 1.63189e+07 197419 0.0290017
83500000 182.162 272.93 312.115 767.207 1.55176e+07 191759 0.0289767
83600000 188.398 285.216 330.723 804.336 1.7771e+07 210369 0.0289574
83700000 188.286 276.444 334.444 799.174 1.7408e+07 207477 0.0289424
83800000 177.1 250.664 327.622 755.386 1.4544e+07 184537 0.0289456
83900000 172.409 270.326 358.627 801.363 1.67145e+07 205384 0.0289947
