# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
10000000 24.6433 45.434 78.2983 148.376 87666.4 6606.59 0.141802
10100000 26.8434 35.4862 81.6814 144.011 77807.4 6043.74 0.141623
10200000 24.9636 48.646 70.6059 144.215 85742.2 6411.65 0.140887
10300000 25.1194 46.261 68.1113 139.492 79148.7 6023.86 0.140173
10400000 22.18 53.6215 63.8505 139.652 75938.8 6029.28 0.139486
10500000 17.4599 31.2785 88.4107 137.149 48282.9 4855.12 0.140323
10600000 16.0025 38.0848 75.7856 129.873 46187.7 4708.49 0.140514
10700000 24.2242 63.9847 67.9734 156.182 105357 7545.84 0.139669
10800000 18.6323 45.2398 87.9235 151.796 74112.5 6458.78 0.139893
10900000 20.2843 51.541 83.661 155.486 87465 7054.44 0.13971
11000000 24.7326 47.5579 50.0244 122.315 58840.2 4792.52 0.138971
11100000 18.1698 29.0041 60.1078 107.282 31676.8 3362.52 0.138885
11200000 17.7269 26.1816 90.0859 133.994 41810.7 4419.66 0.139949
11300000 31.2544 41.9952 48.0874 121.337 63116.4 4834.92 0.139065
11400000 16.6104 33.9961 69.5095 120.116 39251.3 4082.32 0.139148
11500000 14.0207 43.4822 59.254 116.757 36124.3 4016.93 0.138999
11600000 20.0283 42.0632 70.5715 132.663 59453.2 5224.34 0.138755
11700000 14.7875 33.7502 68.5176 117.055 34195.8 3824.76 0.138907
11800000 20.4226 31.9463 62.8245 115.193 40988.3 3942.47 0.138721
11900000 26.6873 43.1594 80.5842 150.431 92817.6 6780.35 0.13833
12000000 23.6601 26.38 114.717 164.757 71600.9 6364.6 0.140277
12100000 13.0459 38.8527 71.7368 123.635 36361.1 4229.91 0.140481
12200000 17.8385 60.6137 104.642 183.094 113144 9290.63 0.140899
12300000 19.4955 26.261 46.1275 91.884 23616 2622.6 0.140627
12400000 18.8583 50.0689 81.1667 150.094 76638.8 6538.81 0.140515
12500000 22.0995 37.1035 57.1837 116.387 46888.9 4205.42 0.140091
12600000 30.3163 36.0698 50.2935 116.68 54996 4432.29 0.139404
12700000 18.5697 34.1764 108.696 161.442 68983.4 6367.93 0.140826
12800000 26.1921 57.0157 66.6044 149.812 99464.2 7035.36 0.140054
12900000 20.0494 52.5394 77.0466 149.635 81159.5 6646.1 0.139768
13000000 11.064 37.6569 80.9089 129.63 33709.6 4358.59 0.140342
13100000 20.1494 44.1519 69.6656 133.967 61976.8 5369.22 0.140061
13200000 14.7212 36.8148 80.0386 131.575 43377.5 4666.82 0.140425
13300000 19.1326 58.9574 76.6337 154.724 86443.6 7112.34 0.140117
13400000 21.8962 46.1674 84.8756 152.939 85800 6787.83 0.140016
13500000 28.8703 39.2025 81.9658 150.039 92768.1 6711.44 0.139707
13600000 27.3027 37.6357 63.708 128.646 65463.6 5164.65 0.139209
13700000 16.7313 43.4059 115.216 175.354 83674.4 7655.03 0.140581
13800000 16.5141 46.3029 67.3543 130.171 51502.5 4995.64 0.140415
13900000 23.6868 34.1621 46.2616 104.11 37434.5 3485.37 0.139974
14000000 10.0176 48.4452 84.493 142.956 41004.8 5425 0.140474
14100000 21.6117 40.9685 54.243 116.823 48026.7 4279.94 0.14005
14200000 14.1126 44.6949 63.6621 122.47 40155.6 4374.57 0.139964
14300000 24.6147 33.4676 50.7077 108.79 41772.8 3769.02 0.139537
14400000 10.8081 37.3077 69.3317 117.448 27956.3 3739.18 0.139783
14500000 16.4173 49.2933 90.4385 156.149 73188.7 6752.04 0.140051
14600000 21.5879 28.1692 92.6075 142.365 56316 5216 0.14071
14700000 21.1374 26.599 64.1365 111.873 36059.7 3623.88 0.140667
14800000 11.1288 40.4892 80.6859 132.304 36356.7 4615.44 0.141105
14900000 28.7649 34.1391 75.0629 137.967 73712.3 5703.76 0.140828
15000000 10.6072 27.2986 88.0721 125.978 25502.2 3628 0.141822
15100000 26.3855 42.4082 53.0185 121.812 59325.6 4766.3 0.14126
15200000 21.3849 32.6927 69.591 123.669 48653 4462.44 0.141169
15300000 24.1278 44.9163 63.4753 132.519 68790.1 5466.32 0.140701
15400000 25.681 44.351 51.2387 121.271 58359.8 4727.33 0.140155
15500000 24.5228 29.7219 68.0648 122.309 49609.8 4421.01 0.140014
15600000 23.0622 36.4309 87.8052 147.298 73772 6063.98 0.140177
15700000 17.0897 50.9191 51.9745 119.983 45228 4404.93 0.139886
15800000 24.644 29.1889 49.9904 103.823 35959.6 3410.45 0.139554
15900000 20.4189 45.9942 86.2996 152.713 81048.3 6670.57 0.139573
16000000 17.2208 38.9174 59.8728 116.011 40126.2 4031.34 0.139397
16100000 16.4064 54.7741 66.6538 137.834 59898.1 5643.09 0.139201
16200000 17.9081 38.0867 63.4859 119.481 43301.2 4236.94 0.139058
16300000 22.2503 46.261 65.986 134.497 67920.7 5550.1 0.138696
16400000 24.3978 38.3467 59.377 122.122 55551.7 4661.16 0.138316
16500000 28.6398 39.0599 51.5268 119.227 57641.4 4607.02 0.137793
