# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
71100000 246.945 373.786 442.774 1063.5 4.087e+07 367148 0.0165766
71200000 253.724 340.103 472.317 1066.14 4.07573e+07 366767 0.0167322
71300000 258.98 363.659 440.005 1062.65 4.144e+07 368146 0.0167839
71400000 265.71 343.578 457.647 1066.93 4.17795e+07 370131 0.016861
71500000 278.706 309.16 442.009 1029.88 3.80856e+07 346007 0.0169018
71600000 297.565 332.658 417.553 1047.78 4.13326e+07 362139 0.0168409
71700000 307.738 341.622 379.259 1028.62 3.98715e+07 351405 0.0167225
71800000 316.711 353.868 387.658 1058.24 4.34465e+07 372030 0.0165971
71900000 321.29 356.222 394.659 1072.17 4.5169e+07 381837 0.0164722
72000000 308.387 374.757 401.2 1084.34 4.63668e+07 389648 0.0163693
72100000 293.83 376.589 426.418 1096.84 4.71844e+07 396532 0.0163185
72200000 285.547 390.63 437.654 1113.83 4.88173e+07 407475 0.0163019
72300000 246.089 402.11 454.783 1102.98 4.5003e+07 393745 0.0164257
72400000 277.861 372.405 448.785 1099.05 4.64388e+07 395306 0.0164428
72500000 329.126 354.752 431.51 1115.39 5.03823e+07 411858 0.0163492
72600000 318.043 328.225 482.363 1128.63 5.03536e+07 416125 0.016385
72700000 326.052 349.091 461.638 1136.78 5.25444e+07 425493 0.0163436
72800000 315.285 333.013 407.168 1055.47 4.27502e+07 368960 0.0162593
72900000 317.683 359.648 439.244 1116.58 5.01855e+07 411768 0.0161926
73000000 310.609 326.616 438.536 1075.76 4.44894e+07 380896 0.0161615
73100000 301.514 334.961 424.831 1061.31 4.29059e+07 371389 0.016117
73200000 269.737 332.649 402.522 1004.91 3.61174e+07 332202 0.0160946
73300000 259.279 308.754 418.954 986.986 3.35386e+07 318033 0.0161265
73400000 283.652 288.508 459.379 1031.54 3.75938e+07 344675 0.01622
73500000 280.178 342.218 435.208 1057.6 4.17286e+07 366754 0.0162209
73600000 286.546 361.586 481.444 1129.58 4.98831e+07 415651 0.01628
73700000 304.507 379.986 514.252 1198.74 5.95031e+07 467710 0.0163538
73800000 308.76 377.038 502.02 1187.82 5.84422e+07 460698 0.0163939
73900000 292.954 364.901 484.002 1141.86 5.17393e+07 425302 0.0164393
74000000 292.618 330.09 520.961 1143.67 5.03198e+07 420997 0.0166004
74100000 259.94 347.618 493.55 1101.11 4.45971e+07 390220 0.0167477
74200000 263.515 341.225 459.94 1064.68 4.13569e+07 368062 0.0168177
74300000 241.343 343.322 428.229 1012.89 3.54823e+07 333229 0.0168782
74400000 259.249 358.23 468.253 1085.73 4.34871e+07 382007 0.016964
74500000 225.91 358.964 454.975 1039.85 3.68957e+07 347197 0.017105
74600000 249.467 340.835 378.059 968.361 3.21452e+07 308196 0.0170859
74700000 266.297 333.516 442.242 1042.06 3.92774e+07 354077 0.0171191
74800000 259.598 326.428 440.718 1026.74 3.73464e+07 343012 0.0171652
74900000 270.518 363.697 456.04 1090.25 4.48682e+07 387614 0.0172
75000000 229.385 411.102 447.999 1088.49 4.22467e+07 381239 0.017332
75100000 259.256 385.133 502.57 1146.96 5.01807e+07 423699 0.0174687
75200000 281.234 345.917 471.989 1099.14 4.59167e+07 393292 0.0175134
75300000 297.796 408.773 451.476 1158.05 5.49586e+07 440730 0.0174847
75400000 284.549 330.772 464.697 1080.02 4.37377e+07 380059 0.017521
75500000 250.286 332.951 410.864 994.101 3.42385e+07 322964 0.0175334
75600000 275.136 387.833 403.357 1066.33 4.3041e+07 374120 0.0175015
75700000 265.684 364.676 401.477 1031.84 3.88986e+07 349964 0.0174782
75800000 293.973 351.061 420.587 1065.62 4.34057e+07 374496 0.0174314
75900000 283.208 393.027 435.64 1111.87 4.84903e+07 405903 0.0174135
76000000 300.482 366.845 419.772 1087.1 4.62716e+07 390356 0.017355
76100000 292.029 345.582 422.178 1059.79 4.26061e+07 370105 0.0173158
76200000 282.99 348.521 389.805 1021.32 3.84457e+07 344794 0.017261
76300000 275.499 318.492 386.12 980.11 3.38797e+07 317096 0.0172188
76400000 262.307 332.203 376.332 970.842 3.27932e+07 310872 0.0171822
76500000 261.857 352.76 392.263 1006.88 3.62344e+07 333464 0.0171592
76600000 282.368 355.917 439.346 1077.63 4.4154e+07 380927 0.0171511
76700000 291.57 339.105 415.854 1046.53 4.11166e+07 361141 0.0171114
76800000 294.11 331.395 458.094 1083.6 4.46488e+07 384006 0.0171231
76900000 296.609 383.707 417.089 1097.4 4.74692e+07 397563 0.0170725
77000000 297.726 373.564 412.98 1084.27 4.59315e+07 388449 0.0170181
77100000 334.509 406.116 440.11 1180.74 5.97888e+07 461806 0.0169351
77200000 297.974 402.19 428.583 1128.75 5.13623e+07 419920 0.0168952
77300000 290.41 367.525 416.097 1074.03 4.44113e+07 380498 0.0168547
77400000 301.739 362.066 413.522 1077.33 4.51771e+07 383748 0.0167995
77500000 263.593 343.504 472.137 1079.23 4.27497e+07 377178 0.016873
77600000 283.741 325.638 453.227 1062.61 4.18769e+07 368585 0.0168962
77700000 304.872 342.465 409.315 1056.65 4.27358e+07 369373 0.0168405
77800000 315.576 343.572 418.921 1078.07 4.54208e+07 384554 0.0167823
77900000 319.247 330.122 427.152 1076.52 4.50178e+07 382770 0.0167357
78000000 290.93 314.63 426.462 1032.02 3.90363e+07 349784 0.0167247
78100000 311.856 344.085 421.196 1077.14 4.51964e+07 383584 0.0166731
78200000 278.148 356.806 447.927 1082.88 4.44545e+07 383658 0.016684
78300000 293.607 368.288 431.671 1093.57 4.66773e+07 393852 0.0166551
78400000 261.171 339.946 465.76 1066.88 4.1352e+07 368760 0.0167214
78500000 273.785 322.442 455.314 1051.54 4.0195e+07 359750 0.016762
78600000 228.763 364.606 490.045 1083.41 4.08738e+07 374186 0.0169211
78700000 263.791 347.236 497.979 1109.01 4.56139e+07 395877 0.0170287
78800000 231.438 344.673 459.217 1035.33 3.66319e+07 344330 0.0171317
78900000 236.395 326.877 483.647 1046.92 3.73725e+07 349697 0.0172714
79000000 281.671 358.878 460.022 1100.57 4.65017e+07 395753 0.0172866
79100000 267.022 398.95 473.758 1139.73 5.04685e+07 422037 0.0173376
79200000 283.856 364.12 482.283 1130.26 4.98476e+07 415865 0.0173753
79300000 258.622 355.107 449.685 1063.41 4.12983e+07 367823 0.0174127
79400000 289.226 362.903 438.88 1091.01 4.60653e+07 391167 0.0173938
79500000 251.233 406.34 462.081 1119.65 4.71721e+07 405938 0.0174608
79600000 240.973 433.924 446.674 1121.57 4.67061e+07 406023 0.0175459
79700000 251.781 383.403 462.426 1097.61 4.46396e+07 390259 0.0176066
79800000 263.976 393.321 413.814 1071.11 4.29652e+07 375826 0.0176047
79900000 289.649 389.973 439.737 1119.36 4.96706e+07 411810 0.0175835
80000000 280.142 372.625 475.306 1128.07 4.96162e+07 414652 0.0176124
80100000 282.451 362.896 451.845 1097.19 4.63142e+07 394097 0.017614
80200000 286.878 339.909 509.901 1136.69 4.97217e+07 417112 0.0176965
80300000 296.59 321.668 483.77 1102.03 4.61533e+07 394498 0.0177398
80400000 297.725 343.934 461.413 1103.07 4.72476e+07 398467 0.0177388
80500000 300.111 366.761 425.507 1092.38 4.68352e+07 393828 0.0176965
80600000 299.311 341.32 446.902 1087.53 4.56558e+07 388460 0.0176804
